evidence_id,record_type,source_commit,config_ref,target,horizons,base_information,candidate_information,representation,fit_range,selection_range,evaluation_range,controls,budget,recorded_status,allowed_conclusion,evidence_ref,metadata_sha256
official-compat-v1-t5-fcnn-occ-3-6-region-P_ps-42-20-4738e404,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P+ps,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,96374b0cd2c19f1a1bf6b2cc6236665471ac6f420f3e7099b2600f6803199781
official-compat-v1-t5-fcnn-occ-3-6-region-pe-42-20-c8f0dd1a,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,pe,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,c93a697c502ad920faf8a972b4959a37691594b9e288d74e2126b92e57a61693
official-compat-v1-t5-fcnn-occ-3-6-region-ps-42-20-0442da6c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,e99b367272ae45e50ac103285d31b41e8d8998a5078c6f3b274162494c5a4797
official-compat-v1-t5-fcnn-occ-3-6-region-ps_pe-42-20-4143e988,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,ps+pe,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3de2070c384734286a4014a759ba15f9e660b019fc2aaa0a6bc3e28d162edf7d
official-compat-v1-t5-fcnn-occ-3-6-region-Ta-42-20-6c359345,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,0a66097c0b4835abc2592bf3fcb68154740bcff92994b5b9362bafc4b2fea036
official-compat-v1-t5-fcnn-occ-3-6-region-Ta_pe-42-20-87e33fd2,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta+pe,fcnn,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,659c42a08af43eed9b313ac9d5f5775573f13bfced0d4625d5a58ef22e0e9a6c
official-compat-v1-t5-lstm-occ-3-1-region-P-42-20-d027fa4c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,lstm,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,929af9610db39c643717b2125e8d00d1002e0ee41149929d74d6530b81553ea9
official-compat-v1-t5-lstm-occ-3-2-region-P-42-20-8ceeffcb,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,lstm,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=20,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,f5702cce5d55854844c6822379bdb905a538c94b46255790328f926837bcd92c
official-compat-v1-t5-TimeXer-occ-3-1-region-P-42-1-e292f987,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,3a16ba50ee3f36a9df52a4c7aa7523ab45370b4ea0fd11fe2493e415f9b43531
official-compat-v1-t5-TimeXer-occ-3-1-region-Ta-42-1-e7ce9e81,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 1; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,47bd100dacbd9321e72b848a846318a55b28da751099f77fecedac97dcb35335
official-compat-v1-t5-TimeXer-occ-3-2-region-P-42-1-a1de5913,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,03c9baf96f1c810868022b39b78b951230e0d5721a7fdbb4e883904746148520
official-compat-v1-t5-TimeXer-occ-3-2-region-Ta-42-1-a3621094,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 2; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,6efb545d4c41fd35688557b9fa5a17733bab573b570af95bcc83977c3e9cb481
official-compat-v1-t5-TimeXer-occ-3-3-region-P-42-1-7c75be0c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a31cd2f830f40aad8b88c2e75dc125b6be8016c454aeeea519458c5f0e1e1c79
official-compat-v1-t5-TimeXer-occ-3-3-region-Ta-42-1-5c5e1e6c,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 3; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4ace5ea0ac4b80fb096faa86097aff0efa7f4e8cd1ce03ad4412729ce003d615
official-compat-v1-t5-TimeXer-occ-3-4-region-P-42-1-386d0161,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4e5cdd2102af64ac2703dc89113511b5f2fd0e9ca859cce13c006feb7fe4c21c
official-compat-v1-t5-TimeXer-occ-3-4-region-Ta-42-1-bd6d7c4d,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,Ta,TimeXer,legacy fold 4; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,4f00cc801c6e4e02724d48bf3e07b46b770c723144b52d5f5aecfc6a53efcc57
official-compat-v1-t5-TimeXer-occ-3-5-region-P-42-1-8e0dc731,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 5; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,failed,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,e7617b110eecc5a5434eb3f5853b3cc0efbbb3528b23eb839070414dd1cca8dc
official-compat-v1-t5-TimeXer-occ-3-6-region-P-42-1-c89e1f4e,legacy_result_metadata_not_reinterpreted,NOT_RECONCILED_WITH_CURRENT_RESEARCH,legacy config metadata; full machine paths omitted,occ,3,legacy model-specific occupancy input,P,TimeXer,legacy fold 6; not re-harmonized,UNKNOWN_LEGACY_CONTRACT,legacy evaluated ranges; not new data or blind confirmation,not re-established as a matched pair in this registry,epochs=1,complete,Recorded run status only; no score ranking or current feature-ineffectiveness conclusion,legacy_result_metadata.json; matched by evidence_id in private source inventory,a497148ef2b7b88e382e6aa043e5afc978c2fd01e46a2432a4ae93b38b766ab2
